StateName,StateAbbreviation,SiteNameOfficial,SiteCode,PatientPopulation
Benue,BE,Aba Primary Health Centre,AH,1
Benue,BE,Aliade General Hospital,AL,2088
Benue,BE,Abiam Family Support Program Clinic,AM,14
Benue,BE,Aondana Health Clinic,AO,126
Benue,BE,Atuna Clinic and Maternity,AT,1263
Benue,BE,Sev-Av Foundation - Otukpo,AV,386
Benue,BE,Anyiin Primary Health Center,AY,1108
Benue,BE,Mbaier Health Centre,BE,1
Benue,BE,Bethesda Hospital - Ikachi,BI,189
Benue,BE,Benue State University Teaching Hospital,BN,942
Benue,BE,General Hospital Buruku,BR,1628
Benue,BE,Bonta Family Support Program Clinic,BT,142
Benue,BE,Centre Clinic Korinya,CC,10
Benue,BE,Abinisi Primary Health Center,CF,67
Benue,BE,St. Charles' Hospital,CH,716
Benue,BE,City Hospital,CI,63
Benue,BE,Aso Comprehensive Health Center,CN,113
Benue,BE,Tsar Model Primary Health Center,CRH,16
Benue,BE,Adikpo General Hospital,DP,5614
Benue,BE,Dooshima Primary Health Centre,DS,12
Benue,BE,European Economic Community Health Clinic,EE,41
Benue,BE,Akpagher Primary Health Center,EQ,186
Benue,BE,New Era Clinic and Maternity,ER,31
Benue,BE,Gboko East Comprehensive Health Center,ES,4153
Benue,BE,Afia Comprehensive Health Center,FI,1323
Benue,BE,"Federal Medical Center, Makurdi ",FM,12217
Benue,BE,"HTS Federal Medical Center, Markurdi",FMT,6
Benue,BE,Faith Health Clinic - Atoga,FN,1
Benue,BE,Makurdi Family Support Program Clinic,FS,968
Benue,BE,Atighir Local Government Health Center,GC,150
Benue,BE,St. Gregory Health Center,GG,612
Benue,BE,General Hospital Naka,GK,1699
Benue,BE,Makurdi General Hospital,GM,5081
Benue,BE,Mbagen Community Hospital - Abwa,GN,1671
Benue,BE,Gwarche Primary Health Centre,GP,94
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Comprehensive Health Center - Garagbohol,GR,952
Benue,BE,Igumale General Hospital,GU,210
Benue,BE,Nakar Gwer West Comprehensive Health Center,GW,4827
Benue,BE,Aboho Primary Health Centre,HB,56
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Health Center - Uchi,HI,644
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Hospital - Anyiin,HN,6613
Benue,BE,Ihotu Clinic And Maternity,HT,81
Benue,BE,Anonghul Primary Health Center,HU,23
Benue,BE,Icheen Clinic and Maternity,IC,403
Benue,BE,Idekpa General Hospital,ID,291
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Comprehensive Health Center - Isherev,IN,83
Benue,BE,Ijadoga Otukpa General Hospital,JA,586
Benue,BE,Jordan Clinic and Maternity,JC,730
Benue,BE,Jirgba Primary Health Center,JI,240
Benue,BE,St. Joseph Maternity Clinic - Korinya,JK,1
Benue,BE,Jingir Primary Health Center,JN,1
Benue,BE,St. Joseph's Hospital-Ogobia,JS,575
Benue,BE,NKST Hospital Jato-Aka,JT,2201
Benue,BE,King Cross Clinic and Maternity,KG,34
Benue,BE,Tse-Akiishi Primary Health Center,KI,140
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Hospital - Jato Aka Adikpo,KK,5736
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Hospital - Mkar,KM,18559
Benue,BE,Korinya Primary Health Center,KN,1270
Benue,BE,St. Mary's Hospital - Okpoga,KP,6066
Benue,BE,St. Luke's Hospital,LK,6
Benue,BE,Lord Is Saviour Clinic and Maternity,LS,59
Benue,BE,Buruku KP One Stop Shop			,MB,3024
Benue,BE,St. Monica's Hospital -Adikpo,MD,12062
Benue,BE,May Memorial Hospital - Adoka,MP,62
Benue,BE,Fr. Mathias Clinic,MS,1549
Benue,BE,Mercy Clinic,MX,46
Benue,BE,Myom Hospital - Gboko,MY,1248
Benue,BE,Northbank General Hospital,NB,269
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Clinic - Wannune,NC,1036
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Health Center - Gbe,NE,1023
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Primary Health Center - Kasar,NG,1
Benue,BE,St. Daniel Hospital,NI,217
Benue,BE,Atekombo Comprehensive Health Center,NJ,861
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Health Center - Uchi,NK,350
Benue,BE,Otia Hospital - Otukpo,OH,126
Benue,BE,Ugbokpo General Hospital,OK,370
Benue,BE,Oostra-Gum Clinic and Maternity,OS,641
Benue,BE,Kpe-Ambila Primary Health Centre,PE,237
