StateName,StateAbbreviation,SiteNameOfficial,SiteCode,PatientPopulation
Benue,BE,Aba Primary Health Centre,AH,2
Benue,BE,Mbaakem Health Centre,AK,1
Benue,BE,Aliade General Hospital,AL,2200
Benue,BE,Abiam Family Support Program Clinic,AM,14
Benue,BE,Aondana Health Clinic,AO,357
Benue,BE,Agbeede Primary Health Center,AQ,213
Benue,BE,Comprehensive Health Center Abor	,AR,7
Benue,BE,Atuna Clinic and Maternity,AT,1279
Benue,BE,Sev-Av Foundation - Otukpo,AV,386
Benue,BE,Anyiin Primary Health Center,AY,1109
Benue,BE,Mbaier Health Centre,BE,1
Benue,BE,Bethesda Hospital - Ikachi,BI,351
Benue,BE,Benue State University Teaching Hospital,BN,991
Benue,BE,Mbasar Primary Health Centre,BP,34
Benue,BE,General Hospital Buruku,BR,1686
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Primary Health Center - Biliji,BS,37
Benue,BE,Bonta Family Support Program Clinic,BT,198
Benue,BE,Baki Clinic,BY,6
Benue,BE,Centre Clinic Korinya,CC,10
Benue,BE,Ada Comprehensive Health Center,CCC,10
Benue,BE,Gabriel Suswam Cottage Hospital - Tse Ugbena,CCD,270
Benue,BE,Manyam Primary Health Center,CCJ,95
Benue,BE,Mbaikyo Comprehensive Health Center,CCK,46
Benue,BE,Tse-Kwange Primary Health Center,CCO,7
Benue,BE,Okileme Primary Health Center,CCQ,10
Benue,BE,Onyangede Primary Health Center,CCR,163
Benue,BE,St James Health Centre Ogboju-Ogobia,CCX,69
Benue,BE,St. Theresa Hospital - Otukpo,CCY,7
Benue,BE,Abinisi Primary Health Center,CF,221
Benue,BE,St. Charles' Hospital,CH,716
Benue,BE,City Hospital,CI,98
Benue,BE,Aso Comprehensive Health Center,CN,115
Benue,BE,Gbem Primary Health Center,CRB,40
Benue,BE,St. Paul's Clinic - Sambe,CRG,181
Benue,BE,Tsar Model Primary Health Center,CRH,16
Benue,BE,Vandeikya Maternal and Child Health Clinic,CRI,3
Benue,BE,Vandeikya Primary Health Center,CRJ,15
Benue,BE,Grace Cottage Hospital,CT,121
Benue,BE,Convenant Clinic,CV,40
Benue,BE,City Clinic,CY,106
Benue,BE,Abeda Primary Health Center,DH,4
Benue,BE,Ada Model,DM,4
Benue,BE,Adikpo General Hospital,DP,5715
Benue,BE,Dooshima Primary Health Centre,DS,92
Benue,BE,Usen Tombo Primary Health Center,EA,27
Benue,BE,European Economic Community Health Clinic,EE,154
Benue,BE,Enugba Primary Health Center,EN,64
Benue,BE,Akpagher Primary Health Center,EQ,343
Benue,BE,New Era Clinic and Maternity,ER,31
Benue,BE,Gboko East Comprehensive Health Center,ES,4209
Benue,BE,Ambighir Primary Health Center		,EX,6
Benue,BE,Mbagar Primary Health Center,FG,39
Benue,BE,Afia Comprehensive Health Center,FI,1323
Benue,BE,"Federal Medical Center, Makurdi ",FM,12237
Benue,BE,"HTS Federal Medical Center, Markurdi",FMT,6
Benue,BE,Faith Health Clinic - Atoga,FN,1
Benue,BE,St. Francis Primary Health Center,FP,18
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) - Anyogo Comprehensive Health Center - Gboko East	,FQ,50
Benue,BE,St. Francis Primary Health Center - Agagbe,FR,24
Benue,BE,Makurdi Family Support Program Clinic,FS,999
Benue,BE,May Hospital - Shendam,FV,104
Benue,BE,Atighir Local Government Health Center,GC,175
