StateName,StateAbbreviation,SiteNameOfficial,SiteCode,PatientPopulation
Benue,BE,Aliade General Hospital,AL,37
Benue,BE,Abiam Family Support Program Clinic,AM,6
Benue,BE,Aondana Health Clinic,AO,125
Benue,BE,Atuna Clinic and Maternity,AT,429
Benue,BE,Anyiin Primary Health Center,AY,408
Benue,BE,Benue State University Teaching Hospital,BN,586
Benue,BE,General Hospital Buruku,BR,894
Benue,BE,Bonta Family Support Program Clinic,BT,135
Benue,BE,Centre Clinic Korinya,CC,2
Benue,BE,City Hospital,CI,62
Benue,BE,Aso Comprehensive Health Center,CN,28
Benue,BE,Adikpo General Hospital,DP,201
Benue,BE,Dooshima Primary Health Centre,DS,11
Benue,BE,European Economic Community Health Clinic,EE,41
Benue,BE,Akpagher Primary Health Center,EQ,181
Benue,BE,Gboko East Comprehensive Health Center,ES,1195
Benue,BE,Afia Comprehensive Health Center,FI,343
Benue,BE,"Federal Medical Center, Makurdi ",FM,7652
Benue,BE,"HTS Federal Medical Center, Markurdi",FMT,6
Benue,BE,Makurdi Family Support Program Clinic,FS,665
Benue,BE,Atighir Local Government Health Center,GC,81
Benue,BE,St. Gregory Health Center,GG,15
Benue,BE,General Hospital Naka,GK,675
Benue,BE,Makurdi General Hospital,GM,3174
Benue,BE,Mbagen Community Hospital - Abwa,GN,925
Benue,BE,Gwarche Primary Health Centre,GP,9
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Comprehensive Health Center - Garagbohol,GR,238
Benue,BE,Nakar Gwer West Comprehensive Health Center,GW,1796
Benue,BE,Aboho Primary Health Centre,HB,9
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Hospital - Anyiin,HN,2074
Benue,BE,Anonghul Primary Health Center,HU,23
Benue,BE,Jordan Clinic and Maternity,JC,194
Benue,BE,Jirgba Primary Health Center,JI,230
Benue,BE,NKST Hospital Jato-Aka,JT,72
Benue,BE,King Cross Clinic and Maternity,KG,33
Benue,BE,Tse-Akiishi Primary Health Center,KI,48
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Hospital - Jato Aka Adikpo,KK,925
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Hospital - Mkar,KM,3134
Benue,BE,Korinya Primary Health Center,KN,451
Benue,BE,St. Mary's Hospital - Okpoga,KP,485
Benue,BE,St. Luke's Hospital,LK,6
Benue,BE,Lord Is Saviour Clinic and Maternity,LS,59
Benue,BE,St. Monica's Hospital -Adikpo,MD,1584
Benue,BE,Fr. Mathias Clinic,MS,442
Benue,BE,Mercy Clinic,MX,46
Benue,BE,Myom Hospital - Gboko,MY,294
Benue,BE,Northbank General Hospital,NB,269
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Clinic - Wannune,NC,418
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Health Center - Gbe,NE,239
Benue,BE,St. Daniel Hospital,NI,1
Benue,BE,Atekombo Comprehensive Health Center,NJ,855
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Health Center - Uchi,NK,64
Benue,BE,Oostra-Gum Clinic and Maternity,OS,635
Benue,BE,Kpe-Ambila Primary Health Centre,PE,64
