StateName,StateAbbreviation,SiteNameOfficial,SiteCode,PatientPopulation
Benue,BE,Aba Primary Health Centre,AH,1
Benue,BE,Mbaakem Health Centre,AK,1
Benue,BE,Aliade General Hospital,AL,1635
Benue,BE,Abiam Family Support Program Clinic,AM,6
Benue,BE,Aondana Health Clinic,AO,344
Benue,BE,Agbeede Primary Health Center,AQ,154
Benue,BE,Comprehensive Health Center Abor	,AR,5
Benue,BE,Atuna Clinic and Maternity,AT,675
Benue,BE,Anyiin Primary Health Center,AY,496
Benue,BE,Bethesda Hospital - Ikachi,BI,73
Benue,BE,Benue State University Teaching Hospital,BN,750
Benue,BE,Mbasar Primary Health Centre,BP,14
Benue,BE,General Hospital Buruku,BR,1086
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Primary Health Center - Biliji,BS,36
Benue,BE,Bonta Family Support Program Clinic,BT,194
Benue,BE,Baki Clinic,BY,6
Benue,BE,Centre Clinic Korinya,CC,2
Benue,BE,Ada Comprehensive Health Center,CCC,5
Benue,BE,Gabriel Suswam Cottage Hospital - Tse Ugbena,CCD,115
Benue,BE,Manyam Primary Health Center,CCJ,95
Benue,BE,Mbaikyo Comprehensive Health Center,CCK,16
Benue,BE,Okileme Primary Health Center,CCQ,10
Benue,BE,Onyangede Primary Health Center,CCR,117
Benue,BE,St James Health Centre Ogboju-Ogobia,CCX,31
Benue,BE,St. Theresa Hospital - Otukpo,CCY,7
Benue,BE,Abinisi Primary Health Center,CF,45
Benue,BE,City Hospital,CI,63
Benue,BE,Aso Comprehensive Health Center,CN,63
Benue,BE,Gbem Primary Health Center,CRB,40
Benue,BE,St. Paul's Clinic - Sambe,CRG,156
Benue,BE,Vandeikya Maternal and Child Health Clinic,CRI,3
Benue,BE,Vandeikya Primary Health Center,CRJ,12
Benue,BE,Grace Cottage Hospital,CT,34
Benue,BE,Convenant Clinic,CV,30
Benue,BE,City Clinic,CY,91
Benue,BE,Abeda Primary Health Center,DH,4
Benue,BE,Ada Model,DM,1
Benue,BE,Adikpo General Hospital,DP,4185
Benue,BE,Dooshima Primary Health Centre,DS,90
Benue,BE,Usen Tombo Primary Health Center,EA,27
Benue,BE,European Economic Community Health Clinic,EE,154
Benue,BE,Enugba Primary Health Center,EN,61
Benue,BE,Akpagher Primary Health Center,EQ,320
Benue,BE,Gboko East Comprehensive Health Center,ES,1989
Benue,BE,Ambighir Primary Health Center		,EX,2
Benue,BE,Mbagar Primary Health Center,FG,2
Benue,BE,Afia Comprehensive Health Center,FI,833
Benue,BE,"Federal Medical Center, Makurdi ",FM,8276
Benue,BE,"HTS Federal Medical Center, Markurdi",FMT,6
Benue,BE,St. Francis Primary Health Center,FP,4
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) - Anyogo Comprehensive Health Center - Gboko East	,FQ,42
Benue,BE,St. Francis Primary Health Center - Agagbe,FR,24
Benue,BE,Makurdi Family Support Program Clinic,FS,811
Benue,BE,May Hospital - Shendam,FV,66
Benue,BE,Atighir Local Government Health Center,GC,128
Benue,BE,St. Gregory Health Center,GG,966
Benue,BE,Obagaji General Hospital,GJ,46
Benue,BE,General Hospital Naka,GK,1197
Benue,BE,Makurdi General Hospital,GM,3497
Benue,BE,Mbagen Community Hospital - Abwa,GN,1160
Benue,BE,Gwarche Primary Health Centre,GP,91
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Comprehensive Health Center - Garagbohol,GR,401
Benue,BE,Tongov Primary Health Centre,GV,60
Benue,BE,Nakar Gwer West Comprehensive Health Center,GW,2323
Benue,BE,Mchia Local Government Health Center,HA,2
Benue,BE,Aboho Primary Health Centre,HB,42
Benue,BE,Gwer East KP One Stop Shop,HI,6
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Health Center - Uchi,HI,55
Benue,BE,Hope Hospital,HL,34
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Hospital - Anyiin,HN,2229
Benue,BE,Anonghul Primary Health Center,HU,23
Benue,BE,Ijadoga Otukpa General Hospital,JA,1
Benue,BE,Jordan Clinic and Maternity,JC,385
Benue,BE,Jirgba Primary Health Center,JI,231
Benue,BE,NKST Hospital Jato-Aka,JT,1112
Benue,BE,Jumota Health Clinic Tsuwe,JW,27
Benue,BE,Jolua Hospital,JX,61
Benue,BE,Kur Primary Health Center,KC,40
Benue,BE,King Cross Clinic and Maternity,KG,66
Benue,BE,Tse-Akiishi Primary Health Center,KI,89
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Hospital - Jato Aka Adikpo,KK,2625
